Afk.;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Afkorting;Stationsnaam;Link;;;Stationsnaam;Afkorting;;Afkorting;Lijst voor travelmapping;;;;;;;;Stationsnaam;Afkorting
Sptn;52;4338823;4;6325507;;Sptn;Santpoort Noord;Sptn https://www.openstreetmap.org/?lat=52.4338823&lon=4.6325507;;;;;;;;;;;;;;;Almere Muziekwijk;Almm
Sptz;52;4193488;4;6314176;;Sptz;Santpoort Zuid;Sptz https://www.openstreetmap.org/?lat=52.4193488&lon=4.6314176;;;;;;;;;;;;;;;Weesp;Wp
Bll;52;4043478;4;6276629;;Bll;Bloemendaal;Bll https://www.openstreetmap.org/?lat=52.4043478&lon=4.6276629;;;;;;;;;;;;;;;Amsterdam Science Park;Assp
Utg;52;5214311;4;70259;;Utg;Uitgeest;Utg https://www.openstreetmap.org/?lat=52.5214311&lon=4.70259;;;;;;;;;;;;;;;Bussum Zuid;Bsmz
Hk;52;4946348;4;6861262;;Hk;Heemskerk;Hk https://www.openstreetmap.org/?lat=52.4946348&lon=4.6861262;;;;;;;;;;;;;;;Hilversum Media Park;Hvsm
Bv;52;4785365;4;6566186;;Bv;Beverwijk;Bv https://www.openstreetmap.org/?lat=52.4785365&lon=4.6566186;;;;;;;;;;;;;;;Hilversum;Hvs
Sgn;52;7852715;4;8053789;;Sgn;Schagen;Sgn https://www.openstreetmap.org/?lat=52.7852715&lon=4.8053789;;;;;;;;;;;;;;;Hilversum Sportpark;Hvsp
Amrn;52;6437653;4;7639556;;Amrn;Alkmaar Noord;Amrn https://www.openstreetmap.org/?lat=52.6437653&lon=4.7639556;;;;;;;;;;;;;;;Hollandsche Rading;Hor
Bkf;52;6961115;5;2533431;;Bkf;Bovenkarspel Flora;Bkf https://www.openstreetmap.org/?lat=52.6961115&lon=5.2533431;;;;;;;;;;;;;;;Baarn;Brn
Amfs;52;1748604;5;4038593;;Amfs;Amersfoort Schothorst;Amfs https://www.openstreetmap.org/?lat=52.1748604&lon=5.4038593;;;;;;;;;;;;;;;Soest Zuid;Stz
Avat;52;1925392;5;4335673;;Avat;Amersfoort Vathorst;Avat https://www.openstreetmap.org/?lat=52.1925392&lon=5.4335673;;;;;;;;;;;;;;;Waddinxveen Triangel;Wadt
Nkk;52;2220274;5;4935229;;Nkk;Nijkerk;Nkk https://www.openstreetmap.org/?lat=52.2220274&lon=5.4935229;;;;;;;;;;;;;;;Waddinxveen;Wad
Pt;52;2654979;5;5758773;;Pt;Putten;Pt https://www.openstreetmap.org/?lat=52.2654979&lon=5.5758773;;;;;;;;;;;;;;;Waddinxveen Noord;Wadn
Ns;52;3707574;5;7841371;;Ns;Nunspeet;Ns https://www.openstreetmap.org/?lat=52.3707574&lon=5.7841371;;;;;;;;;;;;;;;Boskoop Snijdelwijk;Bsks
Hde;52;4091474;5;8930152;;Hde;'t Harde;Hde https://www.openstreetmap.org/?lat=52.4091474&lon=5.8930152;;;;;;;;;;;;;;;Boskoop;Bsk
Wz;52;4543848;6;003111;;Wz;Wezep;Wz https://www.openstreetmap.org/?lat=52.4543848&lon=6.003111;;;;;;;;;;;;;;;Purmerend Overwhere;Pmo
Uto;52;1101212;5;1257618;;Uto;Utrecht Overvecht;Uto https://www.openstreetmap.org/?lat=52.1101212&lon=5.1257618;;;;;;;;;;;;;;;Purmerend;Pmr
Bhv;52;1301876;5;2046838;;Bhv;Bilthoven;Bhv https://www.openstreetmap.org/?lat=52.1301876&lon=5.2046838;;;;;;;;;;;;;;;Purmerend Weidevenne;Pmw
Dld;52;1402279;5;2420971;;Dld;Den Dolder;Dld https://www.openstreetmap.org/?lat=52.1402279&lon=5.2420971;;;;;;;;;;;;;;;Zaandam Kogerveld;Zdk
Kpn;52;5597878;5;92163;;Kpn;Kampen;Kpn https://www.openstreetmap.org/?lat=52.5597878&lon=5.92163;;;;;;;;;;;;;;;Koog aan de Zaan;Kz
Almm;52;367558;5;190341;;Almm;Almere Muziekwijk;Almm https://www.openstreetmap.org/?lat=52.367558&lon=5.190341;;;;;;;;;;;;;;;Bunnik;Bnk
Wp;52;3122067;5;0440484;;Wp;Weesp;Wp https://www.openstreetmap.org/?lat=52.3122067&lon=5.0440484;;;;;;;;;;;;;;;Maarn;Mrn
Assp;52;352926;4;948315;;Assp;Amsterdam Science Park;Assp https://www.openstreetmap.org/?lat=52.352926&lon=4.948315;;;;;;;;;;;;;;;Diemen;Dmn
Bsmz;52;2658951;5;1628737;;Bsmz;Bussum Zuid;Bsmz https://www.openstreetmap.org/?lat=52.2658951&lon=5.1628737;;;;;;;;;;;;;;;Barneveld Noord;Bnn
Hvsm;52;2378723;5;1740114;;Hvsm;Hilversum Media Park;Hvsm https://www.openstreetmap.org/?lat=52.2378723&lon=5.1740114;;;;;;;;;;;;;;;Lunteren;Ltn
Hvs;52;2265342;5;1812974;;Hvs;Hilversum;Hvs https://www.openstreetmap.org/?lat=52.2265342&lon=5.1812974;;;;;;;;;;;;;;;Ede Centrum;Edc
Hvsp;52;2164296;5;1873161;;Hvsp;Hilversum Sportpark;Hvsp https://www.openstreetmap.org/?lat=52.2164296&lon=5.1873161;;;;;;;;;;;;;;;Rhenen;Rhn
Hor;52;1780793;5;1793156;;Hor;Hollandsche Rading;Hor https://www.openstreetmap.org/?lat=52.1780793&lon=5.1793156;;;;;;;;;;;;;;;Hengelo Gezondheidspark;Hglg
Brn;52;2080875;5;2817232;;Brn;Baarn;Brn https://www.openstreetmap.org/?lat=52.2080875&lon=5.2817232;;;;;;;;;;;;;;;Delden;Ddn
Stz;52;1651988;5;3028921;;Stz;Soest Zuid;Stz https://www.openstreetmap.org/?lat=52.1651988&lon=5.3028921;;;;;;;;;;;;;;;Borne;Bn
Wadt;52;0272134;4;6490359;;Wadt;Waddinxveen Triangel;Wadt https://www.openstreetmap.org/?lat=52.0272134&lon=4.6490359;;;;;;;;;;;;;;;Almelo de Riet;Amri
Wad;52;0441134;4;6499027;;Wad;Waddinxveen;Wad https://www.openstreetmap.org/?lat=52.0441134&lon=4.6499027;;;;;;;;;;;;;;;Nijverdal;Nvd
Wadn;52;0552626;4;648369;;Wadn;Waddinxveen Noord;Wadn https://www.openstreetmap.org/?lat=52.0552626&lon=4.648369;;;;;;;;;;;;;;;Heino;Hno
Bsks;52;067341;4;6462703;;Bsks;Boskoop Snijdelwijk;Bsks https://www.openstreetmap.org/?lat=52.067341&lon=4.6462703;;;;;;;;;;;;;;;Raalte;Rat
Bsk;52;0770639;4;6466297;;Bsk;Boskoop;Bsk https://www.openstreetmap.org/?lat=52.0770639&lon=4.6466297;;;;;;;;;;;;;;;Grijpskerk;Gk
Pmo;52;5112223;4;9670882;;Pmo;Purmerend Overwhere;Pmo https://www.openstreetmap.org/?lat=52.5112223&lon=4.9670882;;;;;;;;;;;;;;;Dalfsen;Dl
Pmr;52;5039525;4;9544121;;Pmr;Purmerend;Pmr https://www.openstreetmap.org/?lat=52.5039525&lon=4.9544121;;;;;;;;;;;;;;;Ommen;Omn
Pmw;52;4963796;4;9350292;;Pmw;Purmerend Weidevenne;Pmw https://www.openstreetmap.org/?lat=52.4963796&lon=4.9350292;;;;;;;;;;;;;;;Vriezenveen;Vz
Zdk;52;4567546;4;8191929;;Zdk;Zaandam Kogerveld;Zdk https://www.openstreetmap.org/?lat=52.4567546&lon=4.8191929;;;;;;;;;;;;;;;Assen;Asn
Kz;52;4578263;4;8056834;;Kz;Koog aan de Zaan;Kz https://www.openstreetmap.org/?lat=52.4578263&lon=4.8056834;;;;;;;;;;;;;;;Emmen;Emn
Bnk;52;0632104;5;1957958;;Bnk;Bunnik;Bnk https://www.openstreetmap.org/?lat=52.0632104&lon=5.1957958;;;;;;;;;;;;;;;Emmen Zuid;Emnz
Mrn;52;0640966;5;3706605;;Mrn;Maarn;Mrn https://www.openstreetmap.org/?lat=52.0640966&lon=5.3706605;;;;;;;;;;;;;;;Dalen;Dln
Dmn;52;345214;4;9674386;;Dmn;Diemen;Dmn https://www.openstreetmap.org/?lat=52.345214&lon=4.9674386;;;;;;;;;;;;;;;Gramsbergen;Gbg
Bnn;52;1611568;5;598379;;Bnn;Barneveld Noord;Bnn https://www.openstreetmap.org/?lat=52.1611568&lon=5.598379;;;;;;;;;;;;;;;Beilen;Bl
Ltn;52;0851185;5;6243005;;Ltn;Lunteren;Ltn https://www.openstreetmap.org/?lat=52.0851185&lon=5.6243005;;;;;;;;;;;;;;;Meppel;Mp
Edc;52;0432539;5;6681895;;Edc;Ede Centrum;Edc https://www.openstreetmap.org/?lat=52.0432539&lon=5.6681895;;;;;;;;;;;;;;;Steenwijk;Swk
Rhn;51;9579068;5;5783079;;Rhn;Rhenen;Rhn https://www.openstreetmap.org/?lat=51.9579068&lon=5.5783079;;;;;;;;;;;;;;;Wolvega;Wv
Hglg;52;2616919;6;7679488;;Hglg;Hengelo Gezondheidspark;Hglg https://www.openstreetmap.org/?lat=52.2616919&lon=6.7679488;;;;;;;;;;;;;;;Heerenveen;Hr
Ddn;52;2600838;6;7151462;;Ddn;Delden;Ddn https://www.openstreetmap.org/?lat=52.2600838&lon=6.7151462;;;;;;;;;;;;;;;Akkrum;Akm
Bn;52;2986128;6;7484512;;Bn;Borne;Bn https://www.openstreetmap.org/?lat=52.2986128&lon=6.7484512;;;;;;;;;;;;;;;Grou-Jirnsum;Gw
Amri;52;3420988;6;6666467;;Amri;Almelo de Riet;Amri https://www.openstreetmap.org/?lat=52.3420988&lon=6.6666467;;;;;;;;;;;;;;;Harlingen Haven;Hlgh
Nvd;52;366378;6;4624207;;Nvd;Nijverdal;Nvd https://www.openstreetmap.org/?lat=52.366378&lon=6.4624207;;;;;;;;;;;;;;;Harlingen;Hlg
Hno;52;4269658;6;2220279;;Hno;Heino;Hno https://www.openstreetmap.org/?lat=52.4269658&lon=6.2220279;;;;;;;;;;;;;;;Franeker;Fn
Rat;52;3914177;6;27823;;Rat;Raalte;Rat https://www.openstreetmap.org/?lat=52.3914177&lon=6.27823;;;;;;;;;;;;;;;Dronryp;Drp
Gk;53;2557864;6;3098856;;Gk;Grijpskerk;Gk https://www.openstreetmap.org/?lat=53.2557864&lon=6.3098856;;;;;;;;;;;;;;;Deinum;Dei
Dl;52;4982281;6;2594892;;Dl;Dalfsen;Dl https://www.openstreetmap.org/?lat=52.4982281&lon=6.2594892;;;;;;;;;;;;;;;Daarlerveen;Da
Omn;52;5097013;6;4172206;;Omn;Ommen;Omn https://www.openstreetmap.org/?lat=52.5097013&lon=6.4172206;;;;;;;;;;;;;;;Leeuwarden Camminghaburen;Lwc
Vz;52;4020925;6;6004536;;Vz;Vriezenveen;Vz https://www.openstreetmap.org/?lat=52.4020925&lon=6.6004536;;;;;;;;;;;;;;;Hurdegaryp;Hdg
Asn;52;992265;6;5712455;;Asn;Assen;Asn https://www.openstreetmap.org/?lat=52.992265&lon=6.5712455;;;;;;;;;;;;;;;Feanwâlden;Fwd
Emn;52;7906288;6;8997205;;Emn;Emmen;Emn https://www.openstreetmap.org/?lat=52.7906288&lon=6.8997205;;;;;;;;;;;;;;;De Westereen;Dwe
Emnz;52;7487147;6;8743301;;Emnz;Emmen Zuid;Emnz https://www.openstreetmap.org/?lat=52.7487147&lon=6.8743301;;;;;;;;;;;;;;;Hindeloopen;Hnp
Dln;52;6946895;6;7585202;;Dln;Dalen;Dln https://www.openstreetmap.org/?lat=52.6946895&lon=6.7585202;;;;;;;;;;;;;;;Workum;Wk
Gbg;52;6098651;6;676362;;Gbg;Gramsbergen;Gbg https://www.openstreetmap.org/?lat=52.6098651&lon=6.676362;;;;;;;;;;;;;;;IJlst;IJt
Bl;52;8550649;6;5213108;;Bl;Beilen;Bl https://www.openstreetmap.org/?lat=52.8550649&lon=6.5213108;;;;;;;;;;;;;;;Sneek;Sk
Mp;52;6919049;6;1979382;;Mp;Meppel;Mp https://www.openstreetmap.org/?lat=52.6919049&lon=6.1979382;;;;;;;;;;;;;;;Sneek Noord;Sknd
Swk;52;7911743;6;1164515;;Swk;Steenwijk;Swk https://www.openstreetmap.org/?lat=52.7911743&lon=6.1164515;;;;;;;;;;;;;;;Nieuw Buinen;Nbn
Wv;52;8802422;6;0047673;;Wv;Wolvega;Wv https://www.openstreetmap.org/?lat=52.8802422&lon=6.0047673;;;;;;;;;;;;;;;Goes (SGB);Gs
Hr;52;9606524;5;9154132;;Hr;Heerenveen;Hr https://www.openstreetmap.org/?lat=52.9606524&lon=5.9154132;;;;;;;;;;;;;;;Baarland;Bld
Akm;53;0473583;5;8433715;;Akm;Akkrum;Akm https://www.openstreetmap.org/?lat=53.0473583&lon=5.8433715;;;;;;;;;;;;;;;Nisse;Ni
Gw;53;0898834;5;8222898;;Gw;Grou-Jirnsum;Gw https://www.openstreetmap.org/?lat=53.0898834&lon=5.8222898;;;;;;;;;;;;;;;Leiden Centraal;Ledn
Hlgh;53;1746159;5;4114962;;Hlgh;Harlingen Haven;Hlgh https://www.openstreetmap.org/?lat=53.1746159&lon=5.4114962;;;;;;;;;;;;;;;;
Hlg;53;1703923;5;4252094;;Hlg;Harlingen;Hlg https://www.openstreetmap.org/?lat=53.1703923&lon=5.4252094;;;;;;;;;;;;;;;;
Fn;53;1824012;5;549851;;Fn;Franeker;Fn https://www.openstreetmap.org/?lat=53.1824012&lon=5.549851;;;;;;;;;;;;;;;;
Drp;53;1777182;5;6347677;;Drp;Dronryp;Drp https://www.openstreetmap.org/?lat=53.1777182&lon=5.6347677;;;;;;;;;;;;;;;;
Dei;53;1887582;5;7280592;;Dei;Deinum;Dei https://www.openstreetmap.org/?lat=53.1887582&lon=5.7280592;;;;;;;;;;;;;;;;
Da;52;4411354;6;5760173;;Da;Daarlerveen;Da https://www.openstreetmap.org/?lat=52.4411354&lon=6.5760173;;;;;;;;;;;;;;;;
Lwc;53;2021437;5;8425552;;Lwc;Leeuwarden Camminghaburen;Lwc https://www.openstreetmap.org/?lat=53.2021437&lon=5.8425552;;;;;;;;;;;;;;;;
Hdg;53;2190082;5;9348527;;Hdg;Hurdegaryp;Hdg https://www.openstreetmap.org/?lat=53.2190082&lon=5.9348527;;;;;;;;;;;;;;;;
Fwd;53;2350543;5;9897322;;Fwd;Feanwâlden;Fwd https://www.openstreetmap.org/?lat=53.2350543&lon=5.9897322;;;;;;;;;;;;;;;;
Dwe;53;2482864;6;0354836;;Dwe;De Westereen;Dwe https://www.openstreetmap.org/?lat=53.2482864&lon=6.0354836;;;;;;;;;;;;;;;;
Hnp;52;9464538;5;4231314;;Hnp;Hindeloopen;Hnp https://www.openstreetmap.org/?lat=52.9464538&lon=5.4231314;;;;;;;;;;;;;;;;
Wk;52;9720548;5;4565133;;Wk;Workum;Wk https://www.openstreetmap.org/?lat=52.9720548&lon=5.4565133;;;;;;;;;;;;;;;;
IJt;53;0147424;5;6161316;;IJt;IJlst;IJt https://www.openstreetmap.org/?lat=53.0147424&lon=5.6161316;;;;;;;;;;;;;;;;
Sk;53;0326201;5;6518895;;Sk;Sneek;Sk https://www.openstreetmap.org/?lat=53.0326201&lon=5.6518895;;;;;;;;;;;;;;;;
Sknd;53;0401281;5;66273;;Sknd;Sneek Noord;Sknd https://www.openstreetmap.org/?lat=53.0401281&lon=5.66273;;;;;;;;;;;;;;;;
Nbn;52;9688917;6;9668054;;Nbn;Nieuw Buinen;Nbn https://www.openstreetmap.org/?lat=52.9688917&lon=6.9668054;;;;;;;;;;;;;;;;
Gs;51;4971093;3;8828193;;Gs;Goes (SGB);Gs https://www.openstreetmap.org/?lat=51.4971093&lon=3.8828193;;;;;;;;;;;;;;;;
Bld;51;4150204;3;8826993;;Bld;Baarland;Bld https://www.openstreetmap.org/?lat=51.4150204&lon=3.8826993;;;;;;;;;;;;;;;;
Ni;51;4539408;3;8801356;;Ni;Nisse;Ni https://www.openstreetmap.org/?lat=51.4539408&lon=3.8801356;;;;;;;;;;;;;;;;
Ledn;52;166319;4;482286;;Ledn;Leiden Centraal;Ledn https://www.openstreetmap.org/?lat=52.166319&lon=4.482286;;;;;;;;;;;;;;;;
